"0","objectId","propertyName","Value","sourceId","timeStamp"
"14897322","Wernolf, Per","height","5' 11 1/2""","IMDB","null"
"14897323","Wernström, Sven","Born","3 April 1925","IMDB","null"
"14897324","Wernström, Sven","countryOfBirth","Stockholm, Sweden","IMDB","null"
"14897325","Werntz, Gary","Children","Hannah Leder","IMDB","null"
"14897326","Werntz, Gary","spouse_s","Mimi Leder","IMDB","null"
"14897327","Werntz, Gary","height","6' 6""","IMDB","null"
"14897328","Werny, Marga-Maria","Born","March 1913","IMDB","null"
"14897329","Werny, Marga-Maria","Died","25 October 1994","IMDB","null"
"14897330","Werpny, Dana","Born","4 December 1987","IMDB","null"
"14897331","Werpny, Dana","countryOfBirth","Thunder Bay, Ontario, Canada","IMDB","null"
"14897332","Werquin, Charles","Born","20 December 1965","IMDB","null"
"14897333","Werquin, Charles","countryOfBirth","Valenciennes, Nord, France","IMDB","null"
"14897334","Werquin, Charles","Died","16 November 2008","IMDB","null"
"14897335","Werremeier, Friedhelm","Born","30 January 1930","IMDB","null"
"14897336","Werremeier, Friedhelm","countryOfBirth","Witten, Germany","IMDB","null"
"14897337","Werrenrath, Reinald","Born","7 August 1883","IMDB","null"
"14897338","Werrenrath, Reinald","countryOfBirth","Brooklyn, New York, USA","IMDB","null"
"14897339","Werrenrath, Reinald","Died","12 September 1953","IMDB","null"
"14897340","Werrenrath, Reinald","spouse_s","Ada Petersen;Verna True Nidig;Frances M. Aston","IMDB","null"
"14897341","Werrild, Aase","Born","3 October 1919","IMDB","null"
"14897342","Werrild, Aase","countryOfBirth","Denmark","IMDB","null"
"14897343","Werrild, Aase","Died","3 April 1973","IMDB","null"
"14897344","Werris, Samuel","Born","9 August 1910","IMDB","null"
"14897345","Werris, Samuel","countryOfBirth","New York City, New York, USA","IMDB","null"
"14897346","Werris, Samuel","Died","27 February 1987","IMDB","null"
"14897347","Wersba, Barbara","Born","19 August 1932","IMDB","null"
"14897348","Wersba, Barbara","countryOfBirth","Chicago, Illinois, USA","IMDB","null"
"14897349","Anne Wersching","Born","28 March 1977","IMDB","null"
"14897350","Anne Wersching","countryOfBirth","St. Louis, Missouri, USA","IMDB","null"
"14897351","Anne Wersching","spouse_s","Stephen Full","IMDB","null"
"14897352","Anne Wersching","height","5' 7""","IMDB","null"
"14897353","Raimund Wersching","Born","21 August 1950","IMDB","null"
"14897354","Raimund Wersching","countryOfBirth","Mondsee, Austria","IMDB","null"
"14897355","Raimund Wersching","height","5' 11""","IMDB","null"
"14897356","Wershba, Joseph","Born","19 August 1920","IMDB","null"
"14897357","Wershba, Joseph","countryOfBirth","Manhattan, New York City, New York, USA","IMDB","null"
"14897358","Wershba, Joseph","Died","14 May 2011","IMDB","null"
"14897359","Wershba, Joseph","Children","Don Wershba","IMDB","null"
"14897360","Wershba, Joseph","spouse_s","Shirley Wershba","IMDB","null"
"14897361","Shirley Lubowitz","Born","7 July 1922","IMDB","null"
"14897362","Shirley Lubowitz","countryOfBirth","Brooklyn. New York, USA","IMDB","null"
"14897363","Shirley Lubowitz","Children","Don Wershba","IMDB","null"
"14897364","Shirley Lubowitz","spouse_s","Joseph Wershba","IMDB","null"
"14897365","Wersinger, Matthew","Born","1 February 1978","IMDB","null"
"14897366","Wersinger, Matthew","countryOfBirth","Rochester, New York, USA","IMDB","null"
"14897367","Werskey, John","height","5' 10""","IMDB","null"
"14897368","Wert, Andrew","Born","11 August 1968","IMDB","null"
"14897369","Wert, Andrew","countryOfBirth","Southfield, Michigan, USA","IMDB","null"
"14897370","Wert, Andrew","spouse_s","Angela","IMDB","null"
"14897371","Donald Ralph Wert","Born","29 July 1938","IMDB","null"
"14897372","Donald Ralph Wert","countryOfBirth","Strasburg, Pennsylvania, USA","IMDB","null"
"14897373","Donald Ralph Wert","height","5' 9""","IMDB","null"
"14897374","Franklin Douglas Wert III","Born","31 July 1961","IMDB","null"
"14897375","Franklin Douglas Wert III","countryOfBirth","New Hampton, New Hampshire, USA","IMDB","null"
"14897376","Wert, José Ignacio","Born","18 February 1950","IMDB","null"
"14897377","Wert, José Ignacio","countryOfBirth","Madrid, Madrid, Spain","IMDB","null"
"14897378","Wert, Tania","Born","21 September 1969","IMDB","null"
"14897379","Wert, Tania","countryOfBirth","Melbourne, Victoria, Australia","IMDB","null"
"14897380","Wert, Tomasz","Born","28 June 1949","IMDB","null"
"14897381","Wert, Tomasz","countryOfBirth","Lódz, Lódzkie, Poland","IMDB","null"
"14897382","Wert, Tomasz","Died","21 November 2008","IMDB","null"
"14897383","Lael Louisiana Timberlake Wertenbaker","Born","February 1956","IMDB","null"
"14897384","Lael Louisiana Timberlake Wertenbaker","countryOfBirth","New York City, New York, USA","IMDB","null"
"14897385","Wertenstein, Wanda","Born","16 October 1917","IMDB","null"
"14897386","Wertenstein, Wanda","countryOfBirth","Warsaw, Poland, Russian Empire [now Warsaw, Mazowieckie, Poland]","IMDB","null"
"14897387","Wertenstein, Wanda","Died","16 September 2003","IMDB","null"
