"ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"AA-1394-DFW-FLL2011-12-04","ExpectedDepartureTime","9:10 AM, Dec 04","boston","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ActualDepartureTime","9:27 AM, Dec 04","boston","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ExpectedArrivalTime","12:45 PM, Dec 04","boston","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ActualArrivalTime","12:42 PM, Dec 04","boston","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ExpectedDepartureTime","Dec 04 - 9:10am","travelocity","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ActualDepartureTime","Dec 04 - 9:12am","travelocity","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","DepartureGate","C27/C","travelocity","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ExpectedArrivalTime","Dec 04 - 12:45pm","travelocity","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ActualArrivalTime","Dec 04 - 12:46pm","travelocity","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ArrivalGate","E2","travelocity","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ExpectedDepartureTime","9:10aDec 4","orbitz","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ActualDepartureTime","9:12aDec 4","orbitz","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","DepartureGate"," C27","orbitz","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ExpectedArrivalTime","12:45pDec 4","orbitz","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ActualArrivalTime","12:46pDec 4","orbitz","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ArrivalGate"," E2","orbitz","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ExpectedDepartureTime","2011-12-04 09:10 AM","weather","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ActualDepartureTime","2011-12-04 09:27 AM","weather","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ExpectedArrivalTime","2011-12-04 12:45 PM","weather","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ActualArrivalTime","2011-12-04 12:40 PM","weather","2011-12-04"
"AA-1394-DFW-FLL2011-12-04","ExpectedDepartureTime","2011-12-04 09:10 AM","usatoday","2011-12-04"
