"ObjectID","PropertyID","PropertyValue"
"AA-1221-MCO-ORD2011-12-14","ExpectedDepartureTime","December 14, 2011               08:00 PM    "
"AA-1221-MCO-ORD2011-12-14","ActualDepartureTime","December 14, 2011               08:36 PM    "
"AA-1221-MCO-ORD2011-12-14","DepartureGate"," 15"
"AA-1221-MCO-ORD2011-12-14","ExpectedArrivalTime","December 14, 2011               09:50 PM    "
"AA-1221-MCO-ORD2011-12-14","ActualArrivalTime","December 14, 2011               10:27 PM    "
"AA-1221-MCO-ORD2011-12-14","ArrivalGate"," K7    "
"AA-4307-ORD-DTW2011-12-14","ExpectedDepartureTime","December 14, 2011               06:45 PM    "
"AA-4307-ORD-DTW2011-12-14","ActualDepartureTime","December 14, 2011               06:45 PM    "
"AA-4307-ORD-DTW2011-12-14","DepartureGate"," G17"
"AA-4307-ORD-DTW2011-12-14","ExpectedArrivalTime","December 14, 2011               09:10 PM    "
"AA-4307-ORD-DTW2011-12-14","ActualArrivalTime","December 14, 2011               09:17 PM    "
"AA-4307-ORD-DTW2011-12-14","ArrivalGate"," D28    "
"AA-616-DFW-DTW2011-12-14","ExpectedDepartureTime","December 14, 2011               09:05 AM    "
"AA-616-DFW-DTW2011-12-14","ActualDepartureTime","December 14, 2011               09:01 AM    "
"AA-616-DFW-DTW2011-12-14","DepartureGate"," C30"
"AA-616-DFW-DTW2011-12-14","ExpectedArrivalTime","December 14, 2011               12:35 PM    "
"AA-616-DFW-DTW2011-12-14","ActualArrivalTime","December 14, 2011               12:31 PM    "
"AA-616-DFW-DTW2011-12-14","ArrivalGate"," D32    "
"AA-431-MIA-SFO2011-12-14","ExpectedDepartureTime","December 14, 2011               08:35 AM    "
"AA-431-MIA-SFO2011-12-14","ActualDepartureTime","December 14, 2011               08:30 AM    "
"AA-431-MIA-SFO2011-12-14","DepartureGate"," D1"
"AA-431-MIA-SFO2011-12-14","ExpectedArrivalTime","December 14, 2011               11:50 AM    "
"AA-431-MIA-SFO2011-12-14","ActualArrivalTime","December 14, 2011               11:24 AM    "
"AA-431-MIA-SFO2011-12-14","ArrivalGate"," 57    "
"AA-3756-ORD-SLC2011-12-14","ExpectedDepartureTime","December 14, 2011               12:15 PM    "
"AA-3756-ORD-SLC2011-12-14","ActualDepartureTime","December 14, 2011               12:57 PM    "
"AA-3756-ORD-SLC2011-12-14","DepartureGate"," G6B"
"AA-3756-ORD-SLC2011-12-14","ExpectedArrivalTime","December 14, 2011               02:45 PM    "
"AA-3756-ORD-SLC2011-12-14","ActualArrivalTime","December 14, 2011               03:09 PM    "
"AA-3756-ORD-SLC2011-12-14","ArrivalGate"," A1    "
"AA-2050-ORD-MIA2011-12-14","ExpectedDepartureTime","December 14, 2011               10:40 AM    "
"AA-2050-ORD-MIA2011-12-14","ActualDepartureTime","December 14, 2011               10:57 AM    "
"AA-2050-ORD-MIA2011-12-14","DepartureGate"," H15"
"AA-2050-ORD-MIA2011-12-14","ExpectedArrivalTime","December 14, 2011               02:45 PM    "
"AA-2050-ORD-MIA2011-12-14","ActualArrivalTime","December 14, 2011               02:44 PM    "
"AA-2050-ORD-MIA2011-12-14","ArrivalGate"," D3    "
"AA-3804-PHL-ORD2011-12-14","ExpectedDepartureTime","December 14, 2011               02:35 PM    "
"AA-3804-PHL-ORD2011-12-14","ActualDepartureTime","December 14, 2011               03:06 PM    "
"AA-3804-PHL-ORD2011-12-14","DepartureGate"," A7"
"AA-3804-PHL-ORD2011-12-14","ExpectedArrivalTime","December 14, 2011               04:05 PM    "
"AA-3804-PHL-ORD2011-12-14","ActualArrivalTime","December 14, 2011               05:09 PM    "
"AA-3804-PHL-ORD2011-12-14","ArrivalGate"," G13    "
"AA-1664-MIA-ATL2011-12-14","ExpectedDepartureTime","December 14, 2011               10:15 AM    "
"AA-1664-MIA-ATL2011-12-14","ActualDepartureTime","December 14, 2011               11:49 AM    "
"AA-1664-MIA-ATL2011-12-14","DepartureGate"," D17"
"AA-1664-MIA-ATL2011-12-14","ExpectedArrivalTime","December 14, 2011               12:10 PM    "
"AA-1664-MIA-ATL2011-12-14","ActualArrivalTime","December 14, 2011               01:48 PM    "
"AA-1664-MIA-ATL2011-12-14","ArrivalGate"," T11    "
"AA-789-ORD-DEN2011-12-14","ExpectedDepartureTime","December 14, 2011               01:05 PM    "
"AA-789-ORD-DEN2011-12-14","ActualDepartureTime","December 14, 2011               02:12 PM    "
"AA-789-ORD-DEN2011-12-14","DepartureGate"," H11A"
"AA-789-ORD-DEN2011-12-14","ExpectedArrivalTime","December 14, 2011               02:35 PM    "
"AA-789-ORD-DEN2011-12-14","ActualArrivalTime","December 14, 2011               03:56 PM    "
"AA-789-ORD-DEN2011-12-14","ArrivalGate"," A45    "
"AA-1733-ORD-PHX2011-12-14","ExpectedDepartureTime","December 14, 2011               07:45 PM    "
"AA-1733-ORD-PHX2011-12-14","ActualDepartureTime","December 14, 2011     "
"AA-1733-ORD-PHX2011-12-14","DepartureGate"," H15"
"AA-1733-ORD-PHX2011-12-14","ExpectedArrivalTime","December 14, 2011               10:30 PM    "
"AA-1733-ORD-PHX2011-12-14","ActualArrivalTime","December 14, 2011     "
"AA-1733-ORD-PHX2011-12-14","ArrivalGate"," 6    "
"AA-1733-ORD-PHX2011-12-14","ExpectedDepartureTime","December 14, 2011               07:45 PM    "
"AA-1733-ORD-PHX2011-12-14","ActualDepartureTime","December 14, 2011               09:04 PM    "
"AA-1733-ORD-PHX2011-12-14","DepartureGate"," H15"
"AA-1733-ORD-PHX2011-12-14","ExpectedArrivalTime","December 14, 2011               10:30 PM    "
"AA-1733-ORD-PHX2011-12-14","ActualArrivalTime","December 14, 2011     "
"AA-1733-ORD-PHX2011-12-14","ArrivalGate"," 6    "
"AA-4277-CVG-JFK2011-12-14","ExpectedDepartureTime","December 14, 2011               12:10 PM    "
"AA-4277-CVG-JFK2011-12-14","ActualDepartureTime","December 14, 2011               12:01 PM    "
"AA-4277-CVG-JFK2011-12-14","DepartureGate"," 1"
"AA-4277-CVG-JFK2011-12-14","ExpectedArrivalTime","December 14, 2011               02:15 PM    "
"AA-4277-CVG-JFK2011-12-14","ActualArrivalTime","December 14, 2011               02:02 PM    "
"AA-4277-CVG-JFK2011-12-14","ArrivalGate"," 31B    "
"AA-2312-DFW-DTW2011-12-14","ExpectedDepartureTime","December 14, 2011               08:25 PM    "
"AA-2312-DFW-DTW2011-12-14","ActualDepartureTime","December 14, 2011     "
"AA-2312-DFW-DTW2011-12-14","DepartureGate"," C14"
"AA-2312-DFW-DTW2011-12-14","ExpectedArrivalTime","December 14, 2011               11:50 PM    "
"AA-2312-DFW-DTW2011-12-14","ActualArrivalTime","December 14, 2011     "
"AA-2312-DFW-DTW2011-12-14","ArrivalGate"," D32    "
"AA-85-JFK-SFO2011-12-14","ExpectedDepartureTime","December 14, 2011               03:05 PM    "
"AA-85-JFK-SFO2011-12-14","ActualDepartureTime","December 14, 2011               03:54 PM    "
"AA-85-JFK-SFO2011-12-14","DepartureGate"," 41"
"AA-85-JFK-SFO2011-12-14","ExpectedArrivalTime","December 14, 2011               06:30 PM    "
"AA-85-JFK-SFO2011-12-14","ActualArrivalTime","December 14, 2011               07:14 PM    "
"AA-85-JFK-SFO2011-12-14","ArrivalGate"," 58B    "
"AA-404-MIA-MCO2011-12-14","ExpectedDepartureTime","December 14, 2011               06:45 AM    "
"AA-404-MIA-MCO2011-12-14","ActualDepartureTime","December 14, 2011               06:43 AM    "
"AA-404-MIA-MCO2011-12-14","DepartureGate"," E5"
"AA-404-MIA-MCO2011-12-14","ExpectedArrivalTime","December 14, 2011               07:45 AM    "
"AA-404-MIA-MCO2011-12-14","ActualArrivalTime","December 14, 2011               07:37 AM    "
"AA-404-MIA-MCO2011-12-14","ArrivalGate"," 14    "
"AA-446-DFW-PHL2011-12-14","ExpectedDepartureTime","December 14, 2011               11:50 AM    "
"AA-446-DFW-PHL2011-12-14","ActualDepartureTime","December 14, 2011               11:50 AM    "
"AA-446-DFW-PHL2011-12-14","DepartureGate"," D20"
"AA-446-DFW-PHL2011-12-14","ExpectedArrivalTime","December 14, 2011               03:50 PM    "
"AA-446-DFW-PHL2011-12-14","ActualArrivalTime","December 14, 2011               03:55 PM    "
"AA-446-DFW-PHL2011-12-14","ArrivalGate"," A9    "
"AA-2268-PHX-ORD2011-12-14","ExpectedDepartureTime","December 14, 2011               07:15 AM    "
"AA-2268-PHX-ORD2011-12-14","ActualDepartureTime","December 14, 2011               07:43 AM    "
"AA-2268-PHX-ORD2011-12-14","DepartureGate"," 6"
"AA-2268-PHX-ORD2011-12-14","ExpectedArrivalTime","December 14, 2011               11:35 AM    "
"AA-2268-PHX-ORD2011-12-14","ActualArrivalTime","December 14, 2011               11:59 AM    "
"AA-2268-PHX-ORD2011-12-14","ArrivalGate"," H15    "
"AA-4344-ORD-DTW2011-12-14","ExpectedDepartureTime","December 14, 2011               11:45 AM    "
"AA-4344-ORD-DTW2011-12-14","ActualDepartureTime","December 14, 2011               12:10 PM    "
"AA-4344-ORD-DTW2011-12-14","DepartureGate"," G6A"
"AA-4344-ORD-DTW2011-12-14","ExpectedArrivalTime","December 14, 2011               02:00 PM    "
"AA-4344-ORD-DTW2011-12-14","ActualArrivalTime","December 14, 2011               02:52 PM    "
"AA-4344-ORD-DTW2011-12-14","ArrivalGate"," D28    "
"AA-484-DFW-MIA2011-12-14","ExpectedDepartureTime","December 14, 2011               04:15 PM    "
"AA-484-DFW-MIA2011-12-14","ActualDepartureTime","December 14, 2011               04:15 PM    "
"AA-484-DFW-MIA2011-12-14","DepartureGate"," D28"
"AA-484-DFW-MIA2011-12-14","ExpectedArrivalTime","December 14, 2011               07:55 PM    "
"AA-484-DFW-MIA2011-12-14","ActualArrivalTime","December 14, 2011               07:52 PM    "
"AA-484-DFW-MIA2011-12-14","ArrivalGate"," D51    "
"AA-3979-CVG-ORD2011-12-14","ExpectedDepartureTime","December 14, 2011               07:30 AM    "
"AA-3979-CVG-ORD2011-12-14","ActualDepartureTime","December 14, 2011               07:27 AM    "
"AA-3979-CVG-ORD2011-12-14","DepartureGate"," 3"
"AA-3979-CVG-ORD2011-12-14","ExpectedArrivalTime","December 14, 2011               08:00 AM    "
"AA-3979-CVG-ORD2011-12-14","ActualArrivalTime","December 14, 2011               08:19 AM    "
"AA-3979-CVG-ORD2011-12-14","ArrivalGate"," G11    "
"AA-3063-SLC-LAX2011-12-14","ExpectedDepartureTime","December 14, 2011               08:20 PM    "
"AA-3063-SLC-LAX2011-12-14","ActualDepartureTime","December 14, 2011               08:23 PM    "
"AA-3063-SLC-LAX2011-12-14","DepartureGate"," A3"
"AA-3063-SLC-LAX2011-12-14","ExpectedArrivalTime","December 14, 2011               09:20 PM    "
"AA-3063-SLC-LAX2011-12-14","ActualArrivalTime","December 14, 2011     "
"AA-3063-SLC-LAX2011-12-14","ArrivalGate"," 44H    "
"AA-3859-IAH-ORD2011-12-14","ExpectedDepartureTime","December 14, 2011               07:10 AM    "
"AA-3859-IAH-ORD2011-12-14","ActualDepartureTime","December 14, 2011               07:30 AM    "
"AA-3859-IAH-ORD2011-12-14","DepartureGate"," A29"
"AA-3859-IAH-ORD2011-12-14","ExpectedArrivalTime","December 14, 2011               09:40 AM    "
"AA-3859-IAH-ORD2011-12-14","ActualArrivalTime","December 14, 2011               10:10 AM    "
"AA-3859-IAH-ORD2011-12-14","ArrivalGate"," G4    "
"AA-3842-MSP-ORD2011-12-14","ExpectedDepartureTime","December 14, 2011               06:00 AM    "
"AA-3842-MSP-ORD2011-12-14","ActualDepartureTime","December 14, 2011               05:59 AM    "
"AA-3842-MSP-ORD2011-12-14","DepartureGate"," E14"
"AA-3842-MSP-ORD2011-12-14","ExpectedArrivalTime","December 14, 2011               07:30 AM    "
"AA-3842-MSP-ORD2011-12-14","ActualArrivalTime","December 14, 2011               07:38 AM    "
"AA-3842-MSP-ORD2011-12-14","ArrivalGate"," G4    "
"AA-1544-SAN-ORD2011-12-14","ExpectedDepartureTime","December 14, 2011               11:25 AM    "
"AA-1544-SAN-ORD2011-12-14","ActualDepartureTime","December 14, 2011               11:47 AM    "
"AA-1544-SAN-ORD2011-12-14","DepartureGate"," 27"
"AA-1544-SAN-ORD2011-12-14","ExpectedArrivalTime","December 14, 2011               05:25 PM    "
"AA-1544-SAN-ORD2011-12-14","ActualArrivalTime","December 14, 2011               05:46 PM    "
"AA-1544-SAN-ORD2011-12-14","ArrivalGate"," H6    "
"AA-649-ORD-SNA2011-12-14","ExpectedDepartureTime","December 14, 2011               01:30 PM    "
"AA-649-ORD-SNA2011-12-14","ActualDepartureTime","December 14, 2011     "
"AA-649-ORD-SNA2011-12-14","DepartureGate"," H10"
"AA-649-ORD-SNA2011-12-14","ExpectedArrivalTime","December 14, 2011               03:50 PM    "
"AA-649-ORD-SNA2011-12-14","ActualArrivalTime","December 14, 2011     "
"AA-649-ORD-SNA2011-12-14","ArrivalGate"," 7    "
"AA-1640-MIA-MCO2011-12-14","ExpectedDepartureTime","December 14, 2011               06:30 PM    "
"AA-1640-MIA-MCO2011-12-14","ActualDepartureTime","December 14, 2011     "
"AA-1640-MIA-MCO2011-12-14","DepartureGate"," D33"
"AA-1640-MIA-MCO2011-12-14","ExpectedArrivalTime","December 14, 2011               07:25 PM    "
"AA-1640-MIA-MCO2011-12-14","ActualArrivalTime","December 14, 2011     "
"AA-1640-MIA-MCO2011-12-14","ArrivalGate"," 14    "
"AA-518-MIA-JFK2011-12-14","ExpectedDepartureTime","December 14, 2011               06:30 AM    "
"AA-518-MIA-JFK2011-12-14","ActualDepartureTime","December 14, 2011               06:29 AM    "
"AA-518-MIA-JFK2011-12-14","DepartureGate"," D16"
"AA-518-MIA-JFK2011-12-14","ExpectedArrivalTime","December 14, 2011               09:15 AM    "
"AA-518-MIA-JFK2011-12-14","ActualArrivalTime","December 14, 2011               09:22 AM    "
"AA-518-MIA-JFK2011-12-14","ArrivalGate"," 38    "
"AA-2525-DFW-MIA2011-12-14","ExpectedDepartureTime","December 14, 2011               07:25 AM    "
"AA-2525-DFW-MIA2011-12-14","ActualDepartureTime","December 14, 2011               07:26 AM    "
"AA-2525-DFW-MIA2011-12-14","DepartureGate"," D36"
"AA-2525-DFW-MIA2011-12-14","ExpectedArrivalTime","December 14, 2011               11:10 AM    "
"AA-2525-DFW-MIA2011-12-14","ActualArrivalTime","December 14, 2011               11:00 AM    "
"AA-2525-DFW-MIA2011-12-14","ArrivalGate"," D22    "
"AA-1279-DFW-PHX2011-12-14","ExpectedDepartureTime","December 14, 2011               01:00 PM    "
"AA-1279-DFW-PHX2011-12-14","ActualDepartureTime","December 14, 2011               12:59 PM    "
"AA-1279-DFW-PHX2011-12-14","DepartureGate"," A29"
"AA-1279-DFW-PHX2011-12-14","ExpectedArrivalTime","December 14, 2011               02:35 PM    "
"AA-1279-DFW-PHX2011-12-14","ActualArrivalTime","December 14, 2011               02:43 PM    "
"AA-1279-DFW-PHX2011-12-14","ArrivalGate"," 4    "
"AA-1522-SFO-ORD2011-12-14","ExpectedDepartureTime","December 14, 2011               11:55 PM    "
"AA-1522-SFO-ORD2011-12-14","ActualDepartureTime","December 14, 2011     "
"AA-1522-SFO-ORD2011-12-14","DepartureGate"," 57"
"AA-1522-SFO-ORD2011-12-14","ExpectedArrivalTime","December 15, 2011               05:50 AM    "
"AA-1522-SFO-ORD2011-12-14","ActualArrivalTime","December 15, 2011     "
"AA-1522-SFO-ORD2011-12-14","ArrivalGate"," H10    "
"AA-1434-DFW-MCO2011-12-14","ExpectedDepartureTime","December 14, 2011               07:15 AM    "
"AA-1434-DFW-MCO2011-12-14","ActualDepartureTime","December 14, 2011               07:16 AM    "
"AA-1434-DFW-MCO2011-12-14","DepartureGate"," C36"
"AA-1434-DFW-MCO2011-12-14","ExpectedArrivalTime","December 14, 2011               10:35 AM    "
"AA-1434-DFW-MCO2011-12-14","ActualArrivalTime","December 14, 2011               10:41 AM    "
"AA-1434-DFW-MCO2011-12-14","ArrivalGate"," 15    "
"AA-59-JFK-SFO2011-12-14","ExpectedDepartureTime","December 14, 2011               07:10 AM    "
"AA-59-JFK-SFO2011-12-14","ActualDepartureTime","December 14, 2011               07:07 AM    "
"AA-59-JFK-SFO2011-12-14","DepartureGate"," 6"
"AA-59-JFK-SFO2011-12-14","ExpectedArrivalTime","December 14, 2011               10:45 AM    "
"AA-59-JFK-SFO2011-12-14","ActualArrivalTime","December 14, 2011               10:45 AM    "
"AA-59-JFK-SFO2011-12-14","ArrivalGate"," 58B    "
"AA-415-BOS-ORD2011-12-14","ExpectedDepartureTime","December 14, 2011               08:35 AM    "
"AA-415-BOS-ORD2011-12-14","ActualDepartureTime","December 14, 2011               09:07 AM    "
"AA-415-BOS-ORD2011-12-14","DepartureGate"," B34"
"AA-415-BOS-ORD2011-12-14","ExpectedArrivalTime","December 14, 2011               10:40 AM    "
"AA-415-BOS-ORD2011-12-14","ActualArrivalTime","December 14, 2011               11:05 AM    "
"AA-415-BOS-ORD2011-12-14","ArrivalGate"," K8    "
"AA-222-LAX-BOS2011-12-14","ExpectedDepartureTime","December 14, 2011               07:10 AM    "
"AA-222-LAX-BOS2011-12-14","ActualDepartureTime","December 14, 2011               07:03 AM    "
"AA-222-LAX-BOS2011-12-14","DepartureGate"," 47B"
"AA-222-LAX-BOS2011-12-14","ExpectedArrivalTime","December 14, 2011               03:30 PM    "
"AA-222-LAX-BOS2011-12-14","ActualArrivalTime","December 14, 2011               03:09 PM    "
"AA-222-LAX-BOS2011-12-14","ArrivalGate"," B35    "
"AA-3823-LAX-DEN2011-12-14","ExpectedDepartureTime","December 14, 2011               09:00 PM    "
"AA-3823-LAX-DEN2011-12-14","ActualDepartureTime","December 14, 2011     "
"AA-3823-LAX-DEN2011-12-14","DepartureGate"," 44J"
"AA-3823-LAX-DEN2011-12-14","ExpectedArrivalTime","December 15, 2011               12:15 AM    "
"AA-3823-LAX-DEN2011-12-14","ActualArrivalTime","December 15, 2011     "
"AA-3823-LAX-DEN2011-12-14","ArrivalGate"," A49    "
"AA-1165-JFK-MIA2011-12-14","ExpectedDepartureTime","December 14, 2011               06:59 AM    "
"AA-1165-JFK-MIA2011-12-14","ActualDepartureTime","December 14, 2011               06:51 AM    "
"AA-1165-JFK-MIA2011-12-14","DepartureGate"," 42"
"AA-1165-JFK-MIA2011-12-14","ExpectedArrivalTime","December 14, 2011               10:34 AM    "
"AA-1165-JFK-MIA2011-12-14","ActualArrivalTime","December 14, 2011               10:00 AM    "
"AA-1165-JFK-MIA2011-12-14","ArrivalGate"," D2    "
"AA-3786-IAH-ORD2011-12-14","ExpectedDepartureTime","December 14, 2011               04:00 PM    "
"AA-3786-IAH-ORD2011-12-14","ActualDepartureTime","December 14, 2011               05:26 PM    "
"AA-3786-IAH-ORD2011-12-14","DepartureGate"," A29"
"AA-3786-IAH-ORD2011-12-14","ExpectedArrivalTime","December 14, 2011               06:40 PM    "
"AA-3786-IAH-ORD2011-12-14","ActualArrivalTime","December 14, 2011               07:53 PM    "
"AA-3786-IAH-ORD2011-12-14","ArrivalGate"," H3A    "
"AA-4330-CVG-ORD2011-12-14","ActualDepartureTime","December 14, 2011     "
