"ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"abu dhabi","Population2006","1000230","0 (68.162.248.83)","null"
"abu dhabi","Population2006","1850230","1513217: Mohammedfairouz","null"
"amsterdam","Population2006","741329","141597: Ilse@","null"
"amsterdam","Population2006","742884","1300620: Krator","null"
"adelaide","Population2006","1124315","3922171: Pirate05","null"
"athens","Population2006","4200000","1876487: El Greco","null"
"athens","Population2006","5005000","3007532: Theiasofia","null"
"athens","Population2005","745514","0 (87.203.23.2)","null"
"ames, iowa","Population2006","51557","1943326: Ctjf83","null"
"ames, iowa","Population2006","51557","5512121: CapitalBot","null"
"algiers","Population1998","1519570","1657649: Amjra","null"
"algiers","Population2005","1518083","2723963: Escondites","null"
"algiers","Population2005","3518083","2676167: Velentine","null"
"astoria, oregon","Population2000","9813","249030: Ajbenj","null"
"astoria, oregon","Population2006","9970","2602832: Aboutmovies","null"
"astoria, oregon","Population2006","9970","5512121: CapitalBot","null"
"abadan","Population2005","415139","141421: Jheald","null"
"austin, texas","Population2000","656562","180524: Scm83x","null"
"austin, texas","Population2004","681804","279000: UH Collegian","null"
"austin, texas","Population2005","690252","1265360: JFreeman","null"
"austin, texas","Population2006","718912","0 (66.76.19.218)","null"
"austin, texas","Population2007","718912","0 (24.206.112.199)","null"
"austin, texas","Population2007","690252","0 (70.235.18.194)","null"
"austin, texas","Population2006","718912","0 (71.145.145.176)","null"
"austin, texas","Population2005","690252","562899: Jerome Charles Potts","null"
"austin, texas","Population2006","709893","107782: Arkyan","null"
"austin, texas","Population2006","909893","0 (24.23.103.216)","null"
"austin, texas","Population2006","856562","0 (75.63.15.226)","null"
"austin, texas","Population2006","709893","157842: Angr","null"
"austin, texas","Population2006","89152658754","0 (129.74.229.245)","null"
"austin, texas","Population2006","709893","302207: EWS23","null"
"ann arbor, michigan","Population2000","114024","201610: Pentawing","null"
"ann arbor, michigan","Population2006","191240","0 (130.13.1.15)","null"
"ann arbor, michigan","Population2000","114024","441605: Gruber76","null"
"ann arbor, michigan","Population2000","114024","5512121: CapitalBot","null"
"albion, michigan","Population2000","9144","5512121: CapitalBot","null"
"aberdeen, south dakota","Population2005","24658","0 (24.230.86.67)","null"
"alameda, california","Population2003","220486","840679: Cashcraft","null"
"alameda, california","Population2000","72259","0 (207.126.230.225)","null"
"alameda, california","Population2000","72259","5478189: Detroiterbot","null"
