"ObjectID","PropertyID","PropertyValue"
"cleveland, ohio","Population2000","478403"
"gary, indiana","Population2000","102746"
"flint, michigan","Population2000","124943"
"compton, california","Population2000","93493"
"washington, d.c.","Population2005","582049"
"plano, texas","Population2000","222030"
"burlington, wisconsin","Population2000","9936"
"minneapolis, minnesota","Population2000","382618"
"buffalo, new york","Population2000","292648"
"boston, massachusetts","Population2005","596638"
"cincinnati, ohio","Population2005","331310"
"houston, texas","Population2005","2076189"
"jackson, mississippi","Population2000","184256"
"lansing, michigan","Population2000","119128"
"st. louis, missouri","Population2005","352572"
"st. louis, missouri","Population2006","353837"
"salt lake city, utah","Population2000","181743"
"fredericksburg, virginia","Population2000","19279"
"camden, new jersey","Population2000","79904"
"chattanooga, tennessee","Population2000","155554"
"la quinta, california","Population2000","23694"
"muncie, indiana","Population2000","67430"
"tell city, indiana","Population2000","7845"
"evansville, indiana","Population2000","121582"
"marshalltown, iowa","Population2000","26009"
"holliston, massachusetts","Population2000","13801"
"north reading, massachusetts","Population2000","13837"
"winona, minnesota","Population2000","27069"
"sylva, north carolina","Population2000","2435"
"akron, ohio","Population2000","217074"
"allen, texas","Population2000","43554"
"racine, wisconsin","Population2000","81855"
"st. joseph, missouri","Population2000","73990"
"medfield, massachusetts","Population2000","12273"
"marblehead, massachusetts","Population2000","20377"
"reno, nevada","Population2000","180480"
"baltimore, maryland","Population2006","640961"
"utica, new york","Population2000","60651"
"berkeley, california","Population2000","102743"
"st. cloud, minnesota","Population2000","59107"
"new orleans, louisiana","Population2000","484674"
"milwaukee, wisconsin","Population2000","596974"
"grass valley, oregon","Population2000","171"
"carson city, nevada","Population2000","52457"
"minnetonka, minnesota","Population2000","51301"
"vicksburg, mississippi","Population2000","26407"
"indianapolis, indiana","Population2000","791926"
"el monte, california","Population2000","115965"
"lima, ohio","Population2000","40081"
"scranton, pennsylvania","Population2000","76415"
"la crosse, wisconsin","Population2000","51818"
"elmira, new york","Population2000","30940"
"pittsburgh, pennsylvania","Population2000","334563"
"portland, maine","Population2000","64249"
"springfield, massachusetts","Population2000","152082"
"lake forest, california","Population2000","58707"
"sault ste. marie, michigan","Population2000","16542"
"port jervis, new york","Population2000","8860"
"glens falls, new york","Population2000","14354"
"atlanta, georgia","Population2005","483108"
"marquette, michigan","Population2000","19661"
"madison, wisconsin","Population2000","208054"
"norfolk, virginia","Population2000","234403"
"vincennes, indiana","Population2000","18701"
"fairhaven, massachusetts","Population2000","16159"
"rochester, new york","Population2000","219773"
"strasburg, ohio","Population2000","2310"
"medford, oregon","Population2000","63154"
"holland, michigan","Population2000","35048"
"sartell, minnesota","Population2000","9641"
"augusta, maine","Population2000","18560"
"fremont, california","Population2000","203413"
"binghamton, new york","Population2000","47380"
"torrance, california","Population2000","137946"
"san juan capistrano, california","Population2000","33826"
"gilroy, california","Population2000","41464"
"douglasville, georgia","Population2000","20065"
"havre de grace, maryland","Population2000","11331"
"muskegon, michigan","Population2000","40105"
"nashua, new hampshire","Population2000","86605"
"peterborough, new hampshire","Population2000","5883"
"wenatchee, washington","Population2000","27856"
"little rock, arkansas","Population2000","183133"
"dunstable, massachusetts","Population2000","2829"
"montague, michigan","Population2000","2407"
"winston-salem, north carolina","Population2000","185776"
"st. marys, ohio","Population2000","8342"
"edinburg, texas","Population2000","48465"
"summerville, south carolina","Population2000","27752"
"bellingham, washington","Population2000","67171"
"jefferson city, missouri","Population2000","39636"
"raleigh, north carolina","Population2000","276093"
"virginia beach, virginia","Population2000","425257"
"manteca, california","Population2000","49258"
"bowling green, kentucky","Population2000","49296"
"beverly, massachusetts","Population2000","39862"
"saginaw, michigan","Population2000","61799"
"valley stream, new york","Population2000","36368"
"white plains, new york","Population2000","53077"
"fargo, north dakota","Population2000","90599"
"dundee, oregon","Population2000","2598"
"fort mill, south carolina","Population2000","7587"
"albion, idaho","Population2000","262"
"schaumburg, illinois","Population2000","75386"
"savage, minnesota","Population2000","21115"
"woodbury, minnesota","Population2000","46463"
"melrose, massachusetts","Population2000","27134"
"crawfordsville, indiana","Population2000","15243"
"cambridge, massachusetts","Population2000","101355"
