"ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"sanjosefrijan2908","Temperature","48","washingtonpost","fri jan 29 08:40:53 2010"
"sanjosefrijan2908","RealFeel","51","washingtonpost","fri jan 29 08:40:53 2010"
"sanjosefrijan2908","Humidity","89","washingtonpost","fri jan 29 08:40:53 2010"
"sanjosefrijan2908","Pressure","30.06","washingtonpost","fri jan 29 08:40:53 2010"
"charlottefrijan2908","Temperature","42","washingtonpost","fri jan 29 08:40:54 2010"
"charlottefrijan2908","RealFeel","41","washingtonpost","fri jan 29 08:40:54 2010"
"charlottefrijan2908","Humidity","50","washingtonpost","fri jan 29 08:40:54 2010"
"charlottefrijan2908","Pressure","30.18","washingtonpost","fri jan 29 08:40:54 2010"
"sandiegofrijan2908","Temperature","56","washingtonpost","fri jan 29 08:40:55 2010"
"sandiegofrijan2908","RealFeel","58","washingtonpost","fri jan 29 08:40:55 2010"
"sandiegofrijan2908","Humidity","80","washingtonpost","fri jan 29 08:40:55 2010"
"sandiegofrijan2908","Pressure","30.07","washingtonpost","fri jan 29 08:40:55 2010"
"denverfrijan2908","Temperature","26","washingtonpost","fri jan 29 08:40:56 2010"
"denverfrijan2908","RealFeel","31","washingtonpost","fri jan 29 08:40:56 2010"
"denverfrijan2908","Humidity","83","washingtonpost","fri jan 29 08:40:56 2010"
"denverfrijan2908","Pressure","30.17","washingtonpost","fri jan 29 08:40:56 2010"
"memphisfrijan2908","Temperature","33","washingtonpost","fri jan 29 08:40:57 2010"
"memphisfrijan2908","RealFeel","18","washingtonpost","fri jan 29 08:40:57 2010"
"memphisfrijan2908","Humidity","63","washingtonpost","fri jan 29 08:40:57 2010"
"memphisfrijan2908","Pressure","30.31","washingtonpost","fri jan 29 08:40:57 2010"
"losangelesfrijan2908","Temperature","57","washingtonpost","fri jan 29 08:40:59 2010"
"losangelesfrijan2908","RealFeel","59","washingtonpost","fri jan 29 08:40:59 2010"
"losangelesfrijan2908","Humidity","74","washingtonpost","fri jan 29 08:40:59 2010"
"losangelesfrijan2908","Pressure","30.06","washingtonpost","fri jan 29 08:40:59 2010"
"elpasofrijan2908","Temperature","30","washingtonpost","fri jan 29 08:41:00 2010"
"elpasofrijan2908","RealFeel","16","washingtonpost","fri jan 29 08:41:00 2010"
"elpasofrijan2908","Humidity","86","washingtonpost","fri jan 29 08:41:00 2010"
"elpasofrijan2908","Pressure","30.10","washingtonpost","fri jan 29 08:41:00 2010"
"newyorkfrijan2908","Temperature","19","washingtonpost","fri jan 29 08:41:01 2010"
"newyorkfrijan2908","RealFeel","-2","washingtonpost","fri jan 29 08:41:01 2010"
"newyorkfrijan2908","Humidity","41","washingtonpost","fri jan 29 08:41:01 2010"
"newyorkfrijan2908","Pressure","30.17","washingtonpost","fri jan 29 08:41:01 2010"
"baltimorefrijan2908","Temperature","21","washingtonpost","fri jan 29 08:41:02 2010"
"baltimorefrijan2908","RealFeel","12-Oct","washingtonpost","fri jan 29 08:41:02 2010"
"baltimorefrijan2908","Humidity","38","washingtonpost","fri jan 29 08:41:02 2010"
"baltimorefrijan2908","Pressure","30.33","washingtonpost","fri jan 29 08:41:02 2010"
"lasvegasfrijan2908","Temperature","47","washingtonpost","fri jan 29 08:41:03 2010"
"lasvegasfrijan2908","RealFeel","47","washingtonpost","fri jan 29 08:41:03 2010"
"lasvegasfrijan2908","Humidity","63","washingtonpost","fri jan 29 08:41:03 2010"
"lasvegasfrijan2908","Pressure","30.07","washingtonpost","fri jan 29 08:41:03 2010"
"washingtonfrijan2908","Temperature","24","washingtonpost","fri jan 29 08:41:04 2010"
"washingtonfrijan2908","RealFeel","13-Sep","washingtonpost","fri jan 29 08:41:04 2010"
"washingtonfrijan2908","Humidity","43","washingtonpost","fri jan 29 08:41:04 2010"
"washingtonfrijan2908","Pressure","30.34","washingtonpost","fri jan 29 08:41:04 2010"
"austinfrijan2908","Temperature","59","washingtonpost","fri jan 29 08:41:05 2010"
"austinfrijan2908","RealFeel","51","washingtonpost","fri jan 29 08:41:05 2010"
"austinfrijan2908","Humidity","87","washingtonpost","fri jan 29 08:41:05 2010"
"austinfrijan2908","Pressure","29.87","washingtonpost","fri jan 29 08:41:05 2010"
"sanfranciscofrijan2908","Temperature","51","washingtonpost","fri jan 29 08:41:06 2010"
"sanfranciscofrijan2908","RealFeel","54","washingtonpost","fri jan 29 08:41:06 2010"
"sanfranciscofrijan2908","Humidity","89","washingtonpost","fri jan 29 08:41:06 2010"
"sanfranciscofrijan2908","Pressure","30.04","washingtonpost","fri jan 29 08:41:06 2010"
"oklahomacityfrijan2908","Temperature","28","washingtonpost","fri jan 29 08:41:07 2010"
"oklahomacityfrijan2908","RealFeel","12-Nov","washingtonpost","fri jan 29 08:41:07 2010"
