"ObjectID","PropertyID","PropertyValue"
"sanjosefrijan2908","Temperature","48"
"sanjosefrijan2908","RealFeel","51"
"sanjosefrijan2908","Humidity","89"
"sanjosefrijan2908","Pressure","30.06"
"sanjosefrijan2908","Visibility","10"
"charlottefrijan2908","Temperature","42"
"charlottefrijan2908","RealFeel","41"
"charlottefrijan2908","Humidity","50"
"charlottefrijan2908","Pressure","30.18"
"charlottefrijan2908","Visibility","10"
"sandiegofrijan2908","Temperature","56"
"sandiegofrijan2908","RealFeel","58"
"sandiegofrijan2908","Humidity","80"
"sandiegofrijan2908","Pressure","30.07"
"sandiegofrijan2908","Visibility","5"
"denverfrijan2908","Temperature","26"
"denverfrijan2908","RealFeel","31"
"denverfrijan2908","Humidity","83"
"denverfrijan2908","Pressure","30.17"
"denverfrijan2908","Visibility","2"
"memphisfrijan2908","Temperature","33"
"memphisfrijan2908","RealFeel","18"
"memphisfrijan2908","Humidity","63"
"memphisfrijan2908","Pressure","30.31"
"memphisfrijan2908","Visibility","10"
"losangelesfrijan2908","Temperature","57"
"losangelesfrijan2908","RealFeel","59"
"losangelesfrijan2908","Humidity","74"
"losangelesfrijan2908","Pressure","30.06"
"losangelesfrijan2908","Visibility","10"
"elpasofrijan2908","Temperature","30"
"elpasofrijan2908","RealFeel","16"
"elpasofrijan2908","Humidity","86"
"elpasofrijan2908","Pressure","30.10"
"elpasofrijan2908","Visibility","4"
"newyorkfrijan2908","Temperature","19"
"newyorkfrijan2908","RealFeel","-2"
"newyorkfrijan2908","Humidity","41"
"newyorkfrijan2908","Pressure","30.17"
"newyorkfrijan2908","Visibility","10"
"baltimorefrijan2908","Temperature","21"
"baltimorefrijan2908","RealFeel","10"
"baltimorefrijan2908","Humidity","38"
"baltimorefrijan2908","Pressure","30.33"
"baltimorefrijan2908","Visibility","10"
"lasvegasfrijan2908","Temperature","47"
"lasvegasfrijan2908","RealFeel","47"
"lasvegasfrijan2908","Humidity","63"
"lasvegasfrijan2908","Pressure","30.07"
"lasvegasfrijan2908","Visibility","10"
"washingtonfrijan2908","Temperature","24"
"washingtonfrijan2908","RealFeel","9"
"washingtonfrijan2908","Humidity","43"
"washingtonfrijan2908","Pressure","30.34"
"washingtonfrijan2908","Visibility","10"
"austinfrijan2908","Temperature","59"
"austinfrijan2908","RealFeel","51"
"austinfrijan2908","Humidity","87"
"austinfrijan2908","Pressure","29.87"
"austinfrijan2908","Visibility","7"
"sanfranciscofrijan2908","Temperature","51"
"sanfranciscofrijan2908","RealFeel","54"
"sanfranciscofrijan2908","Humidity","89"
"sanfranciscofrijan2908","Pressure","30.04"
"sanfranciscofrijan2908","Visibility","6"
"oklahomacityfrijan2908","Temperature","28"
"oklahomacityfrijan2908","RealFeel","11"
"oklahomacityfrijan2908","Humidity","86"
"oklahomacityfrijan2908","Pressure","30.15"
"oklahomacityfrijan2908","Visibility","6"
"nashvillefrijan2908","Temperature","28"
"nashvillefrijan2908","RealFeel","20"
"nashvillefrijan2908","Humidity","58"
"nashvillefrijan2908","Pressure","30.38"
"nashvillefrijan2908","Visibility","10"
"fortworthfrijan2908","Temperature","46"
"fortworthfrijan2908","RealFeel","37"
"fortworthfrijan2908","Humidity","88"
"fortworthfrijan2908","Pressure","30.00"
"fortworthfrijan2908","Visibility","8"
"phoenixfrijan2908","Temperature","55"
"phoenixfrijan2908","RealFeel","52"
"phoenixfrijan2908","Humidity","79"
"phoenixfrijan2908","Pressure","30.01"
"phoenixfrijan2908","Visibility","10"
"portlandfrijan2908","Temperature","48"
"portlandfrijan2908","RealFeel","40"
"portlandfrijan2908","Humidity","60"
"portlandfrijan2908","Pressure","30.00"
"portlandfrijan2908","Visibility","10"
"chicagofrijan2908","Temperature","6"
"chicagofrijan2908","RealFeel","0"
"chicagofrijan2908","Humidity","57"
"chicagofrijan2908","Pressure","30.56"
"chicagofrijan2908","Visibility","10"
"sanantoniofrijan2908","Temperature","57"
"sanantoniofrijan2908","RealFeel","45"
"sanantoniofrijan2908","Humidity","87"
"sanantoniofrijan2908","Pressure","29.89"
"sanantoniofrijan2908","Visibility","8"
"indianapolisfrijan2908","Temperature","10"
"indianapolisfrijan2908","RealFeel","10"
"indianapolisfrijan2908","Humidity","66"
"indianapolisfrijan2908","Pressure","30.50"
"indianapolisfrijan2908","Visibility","10"
"bostonfrijan2908","Temperature","18"
"bostonfrijan2908","RealFeel","-11"
"bostonfrijan2908","Humidity","35"
"bostonfrijan2908","Pressure","29.94"
"bostonfrijan2908","Visibility","10"
"jacksonvillefrijan2908","Temperature","36"
"jacksonvillefrijan2908","RealFeel","41"
"jacksonvillefrijan2908","Humidity","100"
"jacksonvillefrijan2908","Pressure","30.17"
"jacksonvillefrijan2908","Visibility","6"
"columbusfrijan2908","Temperature","11"
"columbusfrijan2908","RealFeel","1"
"columbusfrijan2908","Humidity","70"
"columbusfrijan2908","Pressure","30.48"
"columbusfrijan2908","Visibility","10"
"dallasfrijan2908","Temperature","45"
"dallasfrijan2908","RealFeel","38"
"dallasfrijan2908","Humidity","87"
"dallasfrijan2908","Pressure","30.02"
"dallasfrijan2908","Visibility","5"
"houstonfrijan2908","Temperature","63"
"houstonfrijan2908","RealFeel","53"
"houstonfrijan2908","Humidity","93"
"houstonfrijan2908","Pressure","29.86"
"houstonfrijan2908","Visibility","4"
"seattlefrijan2908","Temperature","49"
"seattlefrijan2908","RealFeel","42"
"seattlefrijan2908","Humidity","49"
"seattlefrijan2908","Pressure","30.02"
"seattlefrijan2908","Visibility","10"
"milwaukeefrijan2908","Temperature","5"
"milwaukeefrijan2908","RealFeel","-1"
"milwaukeefrijan2908","Humidity","47"
"milwaukeefrijan2908","Pressure","30.57"
"milwaukeefrijan2908","Visibility","10"
"detroitfrijan2908","Temperature","8"
"detroitfrijan2908","RealFeel","0"
"detroitfrijan2908","Humidity","63"
"detroitfrijan2908","Pressure","30.50"
"detroitfrijan2908","Visibility","10"
"philadelphiafrijan2908","Temperature","20"
"philadelphiafrijan2908","RealFeel","9"
"philadelphiafrijan2908","Humidity","36"
"philadelphiafrijan2908","Pressure","30.30"
"philadelphiafrijan2908","Visibility","10"
"sanjosefrijan2909","Temperature","47"
"sanjosefrijan2909","RealFeel","46"
"sanjosefrijan2909","Humidity","89"
"sanjosefrijan2909","Pressure","30.03"
"sanjosefrijan2909","Visibility","10"
"charlottefrijan2909","Temperature","41"
"charlottefrijan2909","RealFeel","39"
"charlottefrijan2909","Humidity","52"
"charlottefrijan2909","Pressure","30.19"
"charlottefrijan2909","Visibility","10"
"sandiegofrijan2909","Temperature","53"
"sandiegofrijan2909","RealFeel","52"
"sandiegofrijan2909","Humidity","85"
"sandiegofrijan2909","Pressure","30.08"
"sandiegofrijan2909","Visibility","5"
"denverfrijan2909","Temperature","26"
"denverfrijan2909","RealFeel","30"
"denverfrijan2909","Humidity","84"
"denverfrijan2909","Pressure","30.17"
"denverfrijan2909","Visibility","2"
"memphisfrijan2909","Temperature","32"
"memphisfrijan2909","RealFeel","19"
"memphisfrijan2909","Humidity","66"
